Word,meanings,image_file_path,image_url
abandon,"abandoned
Abandon
abandoned
abandon
abandon
Abandon
3. To discontinue, to quit, or to stop trying: The scientist
abandoned
4. Etymology: from the Old French phrase
laisser a bandon",,
abase,"abased
2. To bring down to size, to humiliate, or to disgrace: Emily's political opponent was
abasing
3. To behave in such a way as to make oneself seem less deserving of respect: The two political candidates were insulting and
abasing
4. Etymology: from Late Latin
bassus","images\abase_1_0.jpg,images\abase_1_1.jpg","http://www.wordinfo.info/words/images/abase-3.jpg,http://www.wordinfo.info/words/images/abase-4.jpg"
abate,"abate
abated
abated
3. Etymology: from Old French
abattre
ad-
battuere
Abate
abate
abate
so you can see more of Mickey Bach's cartoons.",images\abate_2_0.jpg,http://www.wordinfo.info/words/images/abate-1.jpg
abbreviate,"abbreviating
2. To shorten a piece of text by cutting out sections or paraphrasing it, as in abridging or shortening: The speaker
abbreviated
3. Etymology: the
-brev-
brevis
brief
abbreviate",,
abdicate,"abdicated
abdicate
abdicated
3. To proclaim or declare to be no longer one's own, to disclaim, disown, cast off, especially to disown or disinherit children: Gary Brown
abdicated
4. To give up a right, trust, office, or dignity; to leave, to lay down, to surrender, to abandon; at first implying voluntary renunciation, but now including the idea of abandonment by default: Governments, both national and local, seem to be
abdicating

abdicated
5. To leave one's position, office, or power: Yielding to the pressure of public opinion, the president of the country is
abdicating
abdicate
ab-
dicare
abdicate
so you can see more of Mickey Bach's cartoons.",images\abdicate_4_0.jpg,http://www.wordinfo.info/words/images/abdicate-1.jpg
abdication,"abdication
2. The action of formally renouncing, disowning, or casting off; now only applied to the disowning of a son in Roman Law: In choosing the
abdication
3. Resignation, surrender, abnegation: The
abdication
4. Resignation or abandonment, either formal or virtual, of sovereignty or other high trust: The
abdication
5. A formal yielding or relinquishment of the ownership of goods by an insurer to the underwriters: The insurance company determined that the
abdication
abdications
abdication
abdication
abdicationem
ab-
dicare",,
aberration,"aberration
aberrations
aberration
aberration
aberration
aberration
aberrations
Worst Novel of the Year
aberration",,
abet,,images\abet_7_0.jpg,http://www.wordinfo.info/words/images/abet-1.jpg
abhor,"abhors
abhorred
abhorred
abhors
abhorred
abhor
abhors
abhorrere
ab-
horrere
abhor
so you can see more of Mickey Bach's cartoons.",images\abhor_8_0.jpg,http://www.wordinfo.info/words/images/abhor-1.jpg
abide,"abide
2. To linger, to stay, or to hang around: When Helen was at the hospital, she asked Micah to
abide",,
abjure,"abjure
abjure
abjures
abjured
abjured
abjured
4. To beg or to earnestly entreat: Right after the final decision as to the prisoner's guilt, he started to
abjure
abjuring
abjurare
ab-
jurare
jus, juris

so you can see more of Mickey Bach's cartoons.","images\abjure_10_0.jpg,images\abjure_10_1.jpg","http://www.wordinfo.info/words/images/abjure-1.jpg,http://www.wordinfo.info/words/images/abjure-2.jpg"
ablution,"ablutions
ablution
ablution
ablutions
ablution
ablutions
ablution
abluere
ab-
luere

so you can see more of Mickey Bach's cartoons.",images\ablution_11_0.jpg,http://www.wordinfo.info/words/images/ablution-1.jpg
